Student_ID,Name,Gender,Age,Grade_Level,Region,Country,School_Name,Mode,Course_ID,Course_Name,AI_Tool_Used,AI_Assistance_Level,Study_Hours,Video_Watched,Assignments_Submitted,Attendance_%,Quiz_Score,Assignment_Score,Exam_Score,Previous_Score,Discussion_Posts,Feedback_Sentiment,Satisfaction_Rating,Dropout_Risk,Recommendation_Count,AI_Feedback_Score,Accuracy_Score,Instructor_ID,Instructor_Experience,AI_Tool_Proficiency,Date,Semester,Academic_Year,Final_Score,Improvement_%,Performance_Category,Quiz_Score_num,Assignment_Score_num,Exam_Score_num,Previous_Score_num,AI_Feedback_Score_num,Accuracy_Score_num,Final_Score_num,PctScore,Study_Hours_num
S10000,Kiran,M,20,B.Tech 1st Year,Pune,India,SRM,AI,C200,Python Programming,Khanmigo,44,13,21,8,87,69,63,63,46,12,Positive,5,Low,9,87,64,I100,3,82,15-09-2024,2,2025,65,41.3,Average,75.9,69.30000000000001,69.30000000000001,50.6,95.7,70.4,71.5,70.62,13
S10001,Meera,F,24,B.Tech 2nd Year,Mumbai,India,IIT Hyderabad,Traditional,C201,Data Science,ChatGPT,44,18,20,7,88,98,92,94,83,16,Positive,7,Low,12,96,81,I101,14,96,19-08-2025,1,2024,94.67,14.06,High,98.0,92.0,94.0,83.0,96.0,81.0,94.67,94.2,18
S10002,Dev,M,20,B.Tech 1st Year,Hyderabad,India,VIT,AI,C202,Machine Learning,Coursera AI Tutor,69,17,29,7,60,93,64,60,63,3,Neutral,8,High,7,76,78,I102,8,99,13-06-2025,2,2024,72.33,14.81,Average,102.30000000000001,70.4,66.0,69.30000000000001,83.60000000000001,85.80000000000001,79.563,74.58,17
S10003,Vikram,M,23,B.Tech 4th Year,Hyderabad,India,VIT,Traditional,C203,Data Science,ChatGPT,45,5,27,6,90,56,71,85,87,17,Positive,7,Low,17,73,63,I103,13,80,02-05-2025,2,2025,70.67,-18.77,Average,56.0,71.0,85.0,87.0,73.0,63.0,70.67,75.0,5
S10004,Vikram,M,21,B.Tech 2nd Year,Pune,India,JNTU,AI,C204,Python Programming,ChatGPT,77,5,21,7,89,58,91,58,78,17,Neutral,7,Low,14,92,79,I104,5,97,27-10-2025,1,2023,69,-11.54,Average,63.800000000000004,100.10000000000001,63.800000000000004,85.80000000000001,101.2,86.9,75.9,74.69000000000001,5
S10005,Aarav,F,20,B.Tech 2nd Year,Mumbai,India,SRM,Traditional,C205,AI Fundamentals,Coursera AI Tutor,47,5,22,8,99,81,91,53,47,0,Positive,8,Low,13,80,99,I105,11,66,09-02-2024,1,2023,75,59.57,Average,81.0,91.0,53.0,47.0,80.0,99.0,75.0,70.0,5
S10006,Isha,M,22,B.Tech 3rd Year,Hyderabad,India,BITS Pilani,AI,C206,AI Fundamentals,Khanmigo,87,8,24,9,84,81,71,81,54,15,Positive,5,Medium,8,64,68,I106,2,65,27-01-2025,1,2024,77.67,43.83,Average,89.10000000000001,78.10000000000001,89.10000000000001,59.400000000000006,70.4,74.80000000000001,85.43700000000001,85.80000000000001,8
S10007,Dev,M,20,B.Tech 4th Year,Delhi,India,JNTU,Traditional,C207,Cloud Basics,Coursera AI Tutor,85,19,13,9,77,94,74,97,45,19,Negative,7,Low,10,97,79,I107,14,69,24-11-2025,2,2023,88.33,96.29,High,94.0,74.0,97.0,45.0,97.0,79.0,88.33,89.5,19
S10008,Aarav,M,22,B.Tech 2nd Year,Hyderabad,India,JNTU,Traditional,C208,Python Programming,Khanmigo,72,8,15,7,96,78,71,87,44,14,Positive,7,Low,6,92,77,I108,14,94,02-08-2023,2,2023,78.67,78.8,Average,78.0,71.0,87.0,44.0,92.0,77.0,78.67,80.4,8
S10009,Dev,F,24,B.Tech 1st Year,Mumbai,India,IIT Hyderabad,Traditional,C209,Data Science,EdX Bot,87,15,6,8,68,76,52,63,62,3,Positive,6,Low,19,91,89,I109,8,73,27-08-2024,1,2024,03-03-1900,2.69,Average,76.0,52.0,63.0,62.0,91.0,89.0,-633.3333333,62.3,15
S10010,Ananya,M,20,B.Tech 4th Year,Pune,India,BITS Pilani,AI,C210,Data Science,Khanmigo,54,12,18,5,74,97,88,97,87,1,Neutral,7,Low,18,77,86,I110,11,97,22-07-2023,1,2023,94,8.05,High,106.7,96.80000000000001,106.7,95.7,84.7,94.60000000000001,103.4,103.73,12
S10011,Riya,M,22,B.Tech 3rd Year,Delhi,India,SRM,Traditional,C211,Python Programming,Google Classroom AI,76,18,19,5,88,76,79,97,59,12,Positive,7,Low,12,80,86,I111,3,64,25-03-2023,2,2025,84,42.37,High,76.0,79.0,97.0,59.0,80.0,86.0,84.0,87.4,18
S10012,Rohit,M,20,B.Tech 4th Year,Bangalore,India,SRM,AI,C212,Data Science,Khanmigo,48,9,5,9,96,64,50,79,51,1,Positive,7,Medium,15,71,73,I112,6,61,26-08-2025,2,2023,64.33,26.14,Average,70.4,55.00000000000001,86.9,56.1,78.10000000000001,80.30000000000001,70.763,74.03,9
S10013,Meera,M,24,B.Tech 1st Year,Bangalore,India,SRM,Traditional,C213,Machine Learning,Google Classroom AI,42,18,5,8,64,81,94,82,81,8,Positive,7,Low,7,94,84,I113,4,62,05-12-2024,2,2024,85.67,5.77,High,81.0,94.0,82.0,81.0,94.0,84.0,85.67,85.4,18
S10014,Meera,F,20,B.Tech 3rd Year,Bangalore,India,JNTU,AI,C214,Cloud Basics,Khanmigo,70,14,13,9,68,51,52,63,83,12,Positive,5,Low,15,84,82,I114,4,71,04-08-2023,2,2024,55.33,-33.34,Average,56.1,57.2,69.30000000000001,91.30000000000001,92.4,90.2,60.863,63.03,14
